,SourceName,TargetName,Weight,SourceID,TargetID,diceSim
228,TRA29_A5_Round_2_control_F11_TRE_tRNA_Pro_F.ab1,TRA1_C9_Round_2_control_B1_TRE_tRNA_Pro_F.ab1,2,82,231,0
229,TRA29_A6_Round_2_control_G11_TRE_tRNA_Pro_F.ab1,TRA3_C10_round1control_H1_TRE_tRNA_Pro_F.ab1,4,128,241,0
230,TRA29_A8_Round_2_control_A12_TRE_tRNA_Pro_F.ab1,TRA9_C1_Round_2_control_E5_TRE_tRNA_Pro_F.ab1,8,165,116,0
231,TRA29_A9_Round_2_control_B12_TRE_tRNA_Pro_F.ab1,TRA8_C10_round1control_F4_TRE_tRNA_Pro_F.ab1,3,105,91,0
232,TRA29_C10_TRE_tRNA_Pro.ab1,TRA26_E8_TRE_tRNA_Pro.ab1,4,129,150,0
233,TRA29_C2_Round_3_control_E8_TRE_tRNA_Pro_F.ab1,P046473_TRE_tRNA_Pro.ab1,13,50,190,0
234,TRA29_C2_Round_3_control_E8_TRE_tRNA_Pro_F.ab1,P046476_TRE_tRNA_Pro.ab1,1,50,214,0
235,TRA29_C2_Round_3_control_E8_TRE_tRNA_Pro_F.ab1,TRA11_A6_round1control_F6_TRE_tRNA_Pro_F.ab1,8,50,258,0
236,TRA29_C2_Round_3_control_E8_TRE_tRNA_Pro_F.ab1,TRA8_G1_Round_2_control_B4_TRE_tRNA_Pro_F.ab1,3,50,240,0
237,TRA29_C3_TRE_tRNA_Pro.ab1,P048492_TRE_tRNA_Pro.ab1,5,145,0,0
238,TRA29_C6_TRE_tRNA_Pro.ab1,P049254_TRE_tRNA_Pro.ab1,3,106,201,0
239,TRA29_C7_TRE_tRNA_Pro.ab1,76_Round_2_control_G12_TRE_tRNA_Pro_F.ab1,2,83,189,0.625
240,TRA29_C7_TRE_tRNA_Pro.ab1,TRA2_A1_Round_3_control_A1_TRE_tRNA_Pro_F.ab1,6,83,146,0.545454545
241,TRA29_C7_TRE_tRNA_Pro.ab1,TRA24_C1_Round_2_control_B10_TRE_tRNA_Pro_F.ab1,5,83,144,0.444444444
242,TRA29_C7_TRE_tRNA_Pro.ab1,TRA8_G6_Round_2_control_E4_TRE_tRNA_Pro_F.ab1,4,83,114,0.6
243,TRA29_C7_TRE_tRNA_Pro.ab1,TRA9_C9_Round_3_control_H4_TRE_tRNA_Pro_F.ab1,9,83,166,0.25
244,TRA29_C9_TRE_tRNA_Pro.ab1,76_Round_2_control_G12_TRE_tRNA_Pro_F.ab1,6,151,189,0.307692308
245,TRA29_C9_TRE_tRNA_Pro.ab1,TRA2_A1_Round_3_control_A1_TRE_tRNA_Pro_F.ab1,6,151,146,0.5
246,TRA29_C9_TRE_tRNA_Pro.ab1,TRA29_C7_TRE_tRNA_Pro.ab1,6,151,83,0.444444444
247,TRA3_E10_Round_3_control_F2_TRE_tRNA_Pro_F.ab1,P048665_TRE_tRNA_Pro.ab1,3,87,232,0
248,TRA3_E5_Round_2_control_C2_TRE_tRNA_Pro_F.ab1,P046478_TRE_tRNA_Pro.ab1,4,110,198,0.153846154
249,TRA3_E6_Round_3_control_B2_TRE_tRNA_Pro_F.ab1,P046469_TRE_tRNA_Pro.ab1,2,4,217,0.307692308
250,TRA3_E6_Round_3_control_B2_TRE_tRNA_Pro_F.ab1,P046476_TRE_tRNA_Pro.ab1,3,4,214,0.105263158
251,TRA3_E6_Round_3_control_B2_TRE_tRNA_Pro_F.ab1,TRA3_C1_Round_3_control_A2_TRE_tRNA_Pro_F.ab1,1,4,192,0
252,TRA3_E7_Round_3_control_C2_TRE_tRNA_Pro_F.ab1,TRA2_C7_TRE_tRNA_Pro.ab1,7,153,215,0
253,TRA3_E8_Round_3_control_D2_TRE_tRNA_Pro_F.ab1,P046472_TRE_tRNA_Pro.ab1,5,132,250,0
254,TRA3_E9_Round_3_control_E2_TRE_tRNA_Pro_F.ab1,TRA3_E8_Round_3_control_D2_TRE_tRNA_Pro_F.ab1,8,161,132,0
255,TRA3_G8_Round_3_control_H2_TRE_tRNA_Pro_F.ab1,TRA3_C10_round1control_H1_TRE_tRNA_Pro_F.ab1,5,133,241,0
256,TRA3_I1_round1control_B2_TRE_tRNA_Pro_F.ab1,P049254_TRE_tRNA_Pro.ab1,2,54,201,0
257,TRA3_I2_round1control_C2_TRE_tRNA_Pro_F.ab1,P046470_TRE_tRNA_Pro.ab1,11,111,206,0.133333333
258,TRA3_I2_round1control_C2_TRE_tRNA_Pro_F.ab1,TRA2_A6_Round_3_control_F1_TRE_tRNA_Pro_F.ab1,4,111,221,0.133333333
259,TRA3_I2_round1control_C2_TRE_tRNA_Pro_F.ab1,TRA3_E4_Round_2_control_B2_TRE_tRNA_Pro_F.ab1,14,111,269,0
260,TRA3_I3_round1control_D2_TRE_tRNA_Pro_F.ab1,TRA2_E2_round1control_C1_TRE_tRNA_Pro_F.ab1,8,162,152,0.222222222
261,TRA3_I4_Round_2_control_D2_TRE_tRNA_Pro_F.ab1,TRA2_G2_TRE_tRNA_Pro.ab1,4,112,3,0
262,TRA3_I5_Round_2_control_E2_TRE_tRNA_Pro_F.ab1,TRA2_I2_round1control_E1_TRE_tRNA_Pro_F.ab1,2,55,218,0
263,TRA3_I6_Round_2_control_F2_TRE_tRNA_Pro_F.ab1,P046472_TRE_tRNA_Pro.ab1,6,113,250,0
264,TRA3_I6_Round_2_control_F2_TRE_tRNA_Pro_F.ab1,TRA3_E3_Round_2_control_A2_TRE_tRNA_Pro_F.ab1,4,113,243,0
265,TRA3_I7_TRE_tRNA_Pro.ab1,TRA3_I2_round1control_C2_TRE_tRNA_Pro_F.ab1,12,177,111,0
266,TRA31_E1_TRE_tRNA_Pro.ab1,76_Round_2_control_G12_TRE_tRNA_Pro_F.ab1,11,172,189,0
267,TRA31_E1_TRE_tRNA_Pro.ab1,TRA24_A4_round1control_C9_TRE_tRNA_Pro_F.ab1,10,172,168,0
268,TRA31_E4_TRE_tRNA_Pro.ab1,TRA3_C10_round1control_H1_TRE_tRNA_Pro_F.ab1,3,107,241,0
269,TRA31_E5_TRE_tRNA_Pro.ab1,TRA20_A10_Round_2_control_E8_TRE_tRNA_Pro_F.ab1,5,84,143,0
270,TRA31_E5_TRE_tRNA_Pro.ab1,TRA8_I7_Round_2_control_B5_TRE_tRNA_Pro_F.ab1,2,84,179,0
271,TRA31_E6_TRE_tRNA_Pro.ab1,TRA3_E5_Round_2_control_C2_TRE_tRNA_Pro_F.ab1,1,51,110,0
272,TRA31_G3_TRE_tRNA_Pro.ab1,TRA11_A2_round1control_B6_TRE_tRNA_Pro_F.ab1,10,173,24,0
