"","season.caught","location.country","location.coordinate","location.latitude","location.longitude","radius","landing.date","subsample1","subsample2","subsample3","n"
"102","summer","australia","34°21.25 S 115°11.06 E",-34.354167,115.184333,5,"17-02-12","","","",10
"103","summer","new zealand","35 10.453' S 173 3.547' E",-35.174217,173.059117,5,"24-02-11","","","",1
"104","summer","new zealand","35 10.453' S 173 3.547' E",-35.174217,173.059117,5,"24-02-11","","","Y",1
"105","summer","new zealand","35 10.453' S 173 3.547' E",-35.174217,173.059117,5,"24-02-11","","Y","",1
"106","summer","new zealand","35 10.482' S 173 2.728' E",-35.1747,173.045467,5,"22-02-11","Y","","",1
"107","summer","new zealand","35 11.638' S 173 2.868' E",-35.193967,173.0478,5,"18-02-11","Y","","",1
"108","summer","new zealand","35 11.638' S 173 2.868' E",-35.193967,173.0478,5,"18-02-11","Y","","Y",1
"109","summer","new zealand","35 9.915' S 173 3.987' E",-35.16525,173.06645,5,"23-02-11","","","",3
"110","summer","new zealand","35 9.915' S 173 3.987' E",-35.16525,173.06645,5,"23-02-11","","Y","",1
"111","summer","new zealand","35 9.957' S 173 3.125' E",-35.16595,173.052083,5,"22-02-11","","Y","",1
"112","summer","new zealand","35°48'25.2""S 174°24'45.9""E",-35.807001,174.412756,7,"8-03-18","","","",13
"113","summer","new zealand","38 26.550' S 174 3.400' E",-38.4425,174.056667,5,"23-12-09","","","",1
"114","summer","new zealand","38 26.550' S 174 3.400' E",-38.4425,174.056667,5,"23-12-09","","Y","Y",1
"115","summer","new zealand","38 26.550' S 174 3.400' E",-38.4425,174.056667,5,"23-12-09","Y","","Y",1
"116","summer","new zealand","38 48.000' S 173 34.55'E",-38.8,173.575833,5,"19-12-09","","","",1
"117","summer","new zealand","38 48.000' S 173 34.55'E",-38.8,173.575833,5,"19-12-09","Y","","",1
"118","summer","new zealand","38°25.6 S 174°21.6 E",-38.426667,174.36,5,"15-02-19","","","",2
"119","summer","new zealand","38°25.6 S 174°21.6 E",-38.426667,174.36,5,"15-02-19","","","Y",1
"120","summer","new zealand","38°25.6 S 174°21.6 E",-38.426667,174.36,5,"15-02-19","","Y","",1
"121","summer","new zealand","38°37.1 S 174°17.9 E",-38.618333,174.298333,5,"15-02-19","","","",3
"122","summer","new zealand","38°37.1 S 174°17.9 E",-38.618333,174.298333,5,"15-02-19","","Y","",1
"123","summer","new zealand","38°37.1 S 174°17.9 E",-38.618333,174.298333,5,"15-02-19","Y","","Y",1
"124","summer","new zealand","39 57.00' S 173 48.00'E",-39.95,173.8,5,"4-12-09","","","",1
"125","summer","new zealand","39 57.00' S 173 48.00'E",-39.95,173.8,5,"4-12-09","","","Y",1
"126","winter","australia","28°47.0 S 114°34.4 E",-28.783333,114.573333,5,"9-08-12","","","",13
"127","winter","new zealand","34°24 S 172°55 E ",-34.4,172.916667,5,"29-07-18","","","",13
"128","winter","new zealand","34°24 S 172°55 E ",-34.4,172.916667,5,"29-07-18","","Y","",2
"129","winter","new zealand","34°24 S 172°55 E ",-34.4,172.916667,5,"29-07-18","Y","","",3
"130","winter","new zealand","34°24 S 172°55 E ",-34.4,172.916667,5,"29-07-18","Y","","Y",1
"131","winter","new zealand","34°24 S 172°55 E ",-34.4,172.916667,5,"29-07-18","Y","Y","",1
"132","winter","new zealand","34°41 S 173°23 E",-34.683333,173.383333,5,"31-08-18","","","",6
"133","winter","new zealand","34°41 S 173°23 E",-34.683333,173.383333,5,"31-08-18","","","Y",1
"134","winter","new zealand","34°41 S 173°23 E",-34.683333,173.383333,5,"31-08-18","","Y","",2
"135","winter","new zealand","34°41 S 173°23 E",-34.683333,173.383333,5,"31-08-18","Y","","",1
"136","winter","new zealand","34°41 S 173°23 E",-34.683333,173.383333,5,"31-08-18","Y","Y","",1
"137","winter","new zealand","34°53 S 173°34 E",-34.883333,173.566667,5,"30-08-18","","","",3
"138","winter","new zealand","34°53 S 173°34 E",-34.883333,173.566667,5,"30-08-18","","","Y",1
"139","winter","new zealand","34°53 S 173°34 E",-34.883333,173.566667,5,"30-08-18","","Y","",2
"140","winter","new zealand","34°53 S 173°34 E",-34.883333,173.566667,5,"30-08-18","Y","","",2
"141","winter","new zealand","34°53 S 173°34 E",-34.883333,173.566667,5,"30-08-18","Y","","Y",1
"142","winter","new zealand","34°53 S 173°34 E",-34.883333,173.566667,5,"30-08-18","Y","Y","Y",1
"143","winter","new zealand","37.122001366241 S 175.9687042236328 E",-37.122001366241,175.968704223633,5,"26/07/17","","","",6
"144","winter","new zealand","37°23 S 174°32 E",-37.383333,174.533333,5,"12-08-18","","","",2
"145","winter","new zealand","37°28 S 174°33 E",-37.466667,174.55,5,"12-08-18","","","",1
"146","winter","new zealand","37°30.6 S 174°35.3 E",-37.51,174.588333,5,"12-08-18","","","Y",1
"147","winter","new zealand","37°39.8 S 174°37.7 E",-37.663333,174.628333,5,"11-08-18","","","",1
"148","winter","new zealand","37°39.8 S 174°37.7 E",-37.663333,174.628333,5,"11-08-18","","","Y",1
"149","winter","new zealand","37°44 S 174°44 E",-37.733333,174.733333,5,"11-08-18","","","",1
"150","winter","new zealand","37°44.5 S 174°34.9 E",-37.741667,174.581667,5,"6-08-18","Y","","",1
"151","winter","new zealand","37°46.7 S 174°44.8 E",-37.778333,174.746667,5,"31-07-18","","","Y",1
"152","winter","new zealand","37°46.7 S 174°44.8 E",-37.778333,174.746667,5,"31-07-18","","Y","",3
"153","winter","new zealand","37°58.3 S 174°38.5 E",-37.971667,174.641667,5,"5-08-18","Y","Y","",1
"154","winter","new zealand",NA,-35.91,174.89,40,"5-08-18","","","",15
"155","winter","new zealand",NA,-35.91,174.89,40,"5-08-18","","","Y",4
"156","winter","new zealand",NA,-35.91,174.89,40,"5-08-18","","Y","",4
"157","winter","new zealand",NA,-35.91,174.89,40,"5-08-18","","Y","Y",3
"158","winter","new zealand",NA,-35.91,174.89,40,"5-08-18","Y","","",5
"159","winter","new zealand",NA,-35.91,174.89,40,"5-08-18","Y","Y","",1
"160","winter","new zealand",NA,-35.91,174.89,40,"5-08-18","Y","Y","Y",1
